attribute_id,attribute_name,attribute_nameV2
0,culture::abruzzi,culture::abruzzi
1,culture::achaemenid,culture::achaemenid
2,culture::aegean,culture::aegean
3,culture::afghan,culture::afghan
4,culture::after british,culture::after-british
5,culture::after german,culture::after-german
6,culture::after german original,culture::after-german-original
7,culture::after italian,culture::after-italian
8,culture::after russian original,culture::after-russian-original
9,culture::akkadian,culture::akkadian
10,culture::alexandria-hadra,culture::alexandria-hadra
11,culture::algerian,culture::algerian
12,culture::alsace,culture::alsace
13,culture::american,culture::american
14,culture::american or european,culture::american-or-european
15,culture::amsterdam,culture::amsterdam
16,culture::ansbach,culture::ansbach
17,culture::antwerp,culture::antwerp
18,culture::apulian,culture::apulian
19,culture::arabian,culture::arabian
20,culture::aragon,culture::aragon
21,culture::arica,culture::arica
22,culture::asia minor,culture::asia-minor
23,culture::assyrian,culture::assyrian
24,culture::atlantic watershed,culture::atlantic-watershed
25,culture::attic,culture::attic
26,culture::augsburg,culture::augsburg
27,culture::augsburg decoration,culture::augsburg-decoration
28,culture::augsburg original,culture::augsburg-original
29,culture::austrian,culture::austrian
30,culture::avignon,culture::avignon
31,culture::avon,culture::avon
32,culture::aztec,culture::aztec
33,culture::babylonian,culture::babylonian
34,culture::babylonian or kassite,culture::babylonian-or-kassite
35,culture::bactria-margiana archaeological complex,culture::bactria-margiana-archaeological-complex
36,culture::balinese,culture::balinese
37,culture::bavaria,culture::bavaria
38,culture::bayreuth,culture::bayreuth
39,culture::beautiran,culture::beautiran
40,culture::beauvais,culture::beauvais
41,culture::belgian,culture::belgian
42,culture::berlin,culture::berlin
43,culture::birmingham,culture::birmingham
44,culture::boeotian,culture::boeotian
45,culture::bohemian,culture::bohemian
46,culture::bologna,culture::bologna
47,culture::bordeaux,culture::bordeaux
48,culture::bow,culture::bow
49,culture::brescia,culture::brescia
50,culture::bristol,culture::bristol
51,culture::british,culture::british
52,culture::british or french,culture::british-or-french
53,culture::british or scottish,culture::british-or-scottish
54,culture::brunswick,culture::brunswick
55,culture::brussels,culture::brussels
56,culture::burma,culture::burma
57,culture::burslem,culture::burslem
58,culture::byzantine,culture::byzantine
59,culture::calima,culture::calima
60,culture::cambodia,culture::cambodia
61,culture::campanian,culture::campanian
62,culture::canaanite,culture::canaanite
63,culture::canosan,culture::canosan
64,culture::castel durante,culture::castel-durante
65,culture::catalan,culture::catalan
66,culture::catalonia,culture::catalonia
67,culture::caucasian,culture::caucasian
68,culture::caughley,culture::caughley
69,culture::central asia,culture::central-asia
70,culture::central european,culture::central-european
71,culture::central highlands,culture::central-highlands
72,culture::central italian,culture::central-italian
73,culture::chalcidian,culture::chalcidian
74,culture::chantilly,culture::chantilly
75,culture::chaumont-sur-loire,culture::chaumont-sur-loire
76,culture::chelsea,culture::chelsea
77,culture::chelsea-derby,culture::chelsea-derby
78,culture::chimu,culture::chimu
79,culture::china,culture::china
80,culture::chinese with dutch decoration,culture::chinese-with-dutch-decoration
81,culture::chinese with european decoration,culture::chinese-with-european-decoration
82,culture::chinese with french mounts,culture::chinese-with-french-mounts
83,culture::chiriqui,culture::chiriqui
84,culture::chorrera,culture::chorrera
85,culture::chupicuaro,culture::chupicuaro
86,culture::colima,culture::colima
87,culture::colombian,culture::colombian
88,culture::colonial,culture::colonial
89,culture::colonial american,culture::colonial-american
90,culture::copenhagen,culture::copenhagen
91,culture::corinthian,culture::corinthian
92,culture::coromandel coast,culture::coromandel-coast
93,culture::costa rica,culture::costa-rica
94,culture::costa rica or panama,culture::costa-rica-or-panama
95,culture::cretan,culture::cretan
96,culture::crete,culture::crete
97,culture::cyclades,culture::cyclades
98,culture::cycladic,culture::cycladic
99,culture::cypriot,culture::cypriot
100,culture::cypriot or phoenician,culture::cypriot-or-phoenician
101,culture::czech,culture::czech
102,culture::danish,culture::danish
103,culture::deccan,culture::deccan
104,culture::dehua,culture::dehua
105,culture::delft,culture::delft
106,culture::derby,culture::derby
107,culture::deruta,culture::deruta
108,culture::devonshire,culture::devonshire
109,culture::dresden,culture::dresden
