,0
0,1000483014d91860
1,1000fe2e667721fe
2,1001614cb89646ee
3,10041eb49b297c08
4,100501c227f8beea
5,10050ed12fbad46d
6,100543a032517972
7,1006665c0aad488
8,1007057734dba6df
9,1008abd71f3ed5bc
10,1008c7837081f985
11,1009f5737fc77f2
12,100a0dcde728cb36
13,100a58282c6584bf
14,100b45b7c4020f5d
15,100bb499d37d0751
16,100bbf5e832083d3
17,100d750286e85bf3
18,100e1e65a6d7850e
19,100ef61c00e1b5d3
20,100efeead4d0f90c
21,100f00204964e81d
22,1010af4eeb3f95ee
23,1012a188a1fd6166
24,1014806043fa009
25,1014ac8807369589
26,1014daea6638d09a
27,101534933c122e23
28,1015ddcd27215ca6
29,101659003bdb1499
30,101690dc24813dc5
31,101695e8cefdc9c4
32,1016dc1b22073bb3
33,10175059b2aabb70
34,101861e383ec9973
35,1018a55fce131346
36,101b61e80e554985
37,101bedd1744689b2
38,101c55520bafa9f0
39,101c8394ff6db02d
40,101e360e69aeb7b6
41,101e477104fc2bf7
42,101eb6f95ea25ab0
43,101f35d791be34cb
44,101f3b30264f95bb
45,101f609f4bfff5e6
46,1020048f6714ed
47,10217714ab515f45
48,10219d8d2441fd3c
49,1022d46462792863
50,10233e987552d468
51,1023eaa2b948cff2
52,10245fc5f0c1bc53
53,10246e16d17d9b85
54,1024cf6962950d3d
55,10260b5ce69150e3
56,1026fd05a949a6bf
57,1027bc2aeca8e1a8
58,1027e6c5c8e4c329
59,1028437b8bc9eeee
60,10287ba3d06139e0
61,102894db9ed6cf3f
62,1029d2328092ea5d
63,102a85e0df297631
64,102b178fae139a12
65,102b312da3240f83
66,102c9239c03b183
67,102cb701e5718d70
68,102ddf2255055175
69,102e0b4fbd90fa5d
70,10301a06071f5dc8
71,10303f46db29089c
72,1032b100196dfb0e
73,1033055830394850
74,103356cb98f8432d
75,1033d832fd617e6
76,1033e9987c841d5c
77,1035395eac69843a
78,10357357806fd865
79,1035b7bb16ac6861
80,1036067570313a49
81,1037596d35059b86
82,1037796180daaf55
83,103a729425811e95
84,103ac9a11af50a77
85,103afcfbd66b7564
86,103bbdc2619062b3
87,103bdf3269799137
88,103c45a513aa6019
89,103c9d42f39af074
90,103ea6481627ead1
91,10407b0ebada4963
92,10410b3e487c8d13
93,1041f41d8742b7da
94,1042b8fe16eaefb3
95,10430f003935ccc2
96,10440aa9ac074160
97,104468f87dfe4aee
98,10468bea041274a3
99,10472fb2606a173e
100,104737e74e765b8b
101,104748efce3447d7
102,104862b3c278b4f8
103,104869bde5162ef8
104,1048e4b13229f27d
105,104a2a7835758ff8
106,104a6def7a03f626
107,104aa6660ce67379
108,104ace4388140a92
109,104c4bfd6b5eec32
110,104cf95cd0726a22
111,104d25babe223640
112,104d4c7a540f3160
113,104db9cd6f85f477
114,104f8f58592109b9
115,104fb98e4eb995d
116,1050368940bb298d
117,10509f863ee42c3
118,105248bfa74c8b01
119,1052acf3ce58ad8d
120,1052bc4619187ebf
121,1053d5b9411fb370
122,10543f59c2488578
123,105468f53899f311
124,1055abe56bbddf45
125,1055d9d6bb38c6c3
126,1055e61cedb6b7c9
127,10567626ccf6a875
128,1056caff76d71c22
129,10576007b14c86bc
130,10584f896b8df034
131,1059ab8ed8210d87
132,1059ac4f9c6927b7
133,1059f1abf4e51a0
134,105a349858b25cce
135,105b43585eb70f2b
136,105b6c58db321045
137,105c132184cb8cc5
138,105d30f0ea817ab7
139,105d4e090ef5f0df
140,105da5a14dcb0be
141,105edd843d50258c
142,105f044288493432
143,105f7710cbca36ca
144,105fd7f1d727f27e
